Record ID,Company Name,Revenue Range (in USD),Employees,Company City,Company State,Company Country,Primary Industry,Website,Company HQ Phone,Founded Year,Full Address
1000,Innovative Inc,$10 mil. - $25 mil.,82,Charlotte,North Carolina,United States,Healthcare,www.innovativeinc.com,(954) 304-9935,1975,"9774 Corporate Dr, Charlotte, North Carolina, 14165, United States"
1001,Global Corp,$5 mil. - $10 mil.,39,Raleigh,North Carolina,United States,Retail,www.globalcorp.com,(227) 774-4257,2015,"9028 Corporate Dr, Raleigh, North Carolina, 38893, United States"
1002,Fusion Group,$10 mil. - $25 mil.,21,Henderson,Nevada,United States,Education,www.fusiongroup.com,(363) 914-7924,1991,"4652 Oak Ave, Henderson, Nevada, 38221, United States"
1003,Momentum Corp,"$500,000 - $1 mil.",7,San Antonio,Texas,United States,Business Services,www.momentumcorp.com,(552) 818-5333,2021,"811 Corporate Dr, San Antonio, Texas, 80284, United States"
1004,Innovative Systems,"$500,000 - $1 mil.",9,Denver,Colorado,United States,Government,www.innovativesystems.com,(843) 833-6925,2006,"3250 Main St, Denver, Colorado, 16006, United States"
1005,Apex Enterprises,$10 mil. - $25 mil.,40,Charlotte,North Carolina,United States,Government,www.apexenterprises.com,(303) 589-5554,1999,"6077 Oak Ave, Charlotte, North Carolina, 58520, United States"
1006,Velocity Ltd,Over $5 bil.,39993,Santa Ana,California,United States,Agriculture,www.velocityltd.com,(899) 863-2169,2008,"2903 Tech Way, Santa Ana, California, 42087, United States"
1007,Future Technologies,$50 mil. - $100 mil.,238,Bakersfield,California,United States,Transportation,www.futuretechnologies.com,(770) 424-6313,2023,"1016 Oak Ave, Bakersfield, California, 14207, United States"
1008,Synergy Systems,$10 mil. - $25 mil.,36,Columbus,Ohio,United States,Agriculture,www.synergysystems.com,(780) 935-6155,1983,"8279 Corporate Dr, Columbus, Ohio, 94259, United States"
1009,Pioneer LLC,$10 mil. - $25 mil.,55,Fort Worth,Texas,United States,Transportation,www.pioneerllc.com,(774) 751-5304,2017,"9677 Corporate Dr, Fort Worth, Texas, 86484, United States"
1010,Vista Solutions,$5 mil. - $10 mil.,27,Raleigh,North Carolina,United States,Telecommunications,www.vistasolutions.com,(293) 973-1771,1977,"2604 Oak Ave, Raleigh, North Carolina, 99192, United States"
1011,Matrix Group,"$500,000 - $1 mil.",7,Memphis,Tennessee,United States,Retail,www.matrixgroup.com,(679) 741-5119,2005,"288 Main St, Memphis, Tennessee, 99353, United States"
1012,Maximize Enterprises,$10 mil. - $25 mil.,184,Detroit,Michigan,United States,Finance,www.maximizeenterprises.com,(500) 645-3591,1999,"153 Business Blvd, Detroit, Michigan, 75612, United States"
1013,Alpha Services,"$500,000 - $1 mil.",5,Bakersfield,California,United States,Real Estate,www.alphaservices.com,(823) 403-3504,1993,"2746 Tech Way, Bakersfield, California, 79514, United States"
1014,Acme Group,$25 mil. - $50 mil.,175,Los Angeles,California,United States,Finance,www.acmegroup.com,(571) 514-4923,1973,"4046 Tech Way, Los Angeles, California, 20322, United States"
1015,Dynamic Associates,$100 mil. - $250 mil.,270,Henderson,Nevada,United States,Real Estate,www.dynamicassociates.com,(984) 328-3103,2012,"7887 Tech Way, Henderson, Nevada, 31643, United States"
1016,Pinnacle Services,$500 mil. - $1 bil.,2733,Columbus,Ohio,United States,Agriculture,www.pinnacleservices.com,(752) 973-4295,2015,"5207 Corporate Dr, Columbus, Ohio, 98039, United States"
1017,Phoenix Technologies,$250 mil. - $500 mil.,1424,San Diego,California,United States,Manufacturing,www.phoenixtechnologies.com,(430) 265-6539,1971,"9738 Tech Way, San Diego, California, 40161, United States"
1018,Apex Inc,"$500,000 - $1 mil.",1,Charlotte,North Carolina,United States,Finance,www.apexinc.com,(232) 538-2160,2002,"3999 Business Blvd, Charlotte, North Carolina, 97684, United States"
1019,Revolution Ltd,$250 mil. - $500 mil.,770,Riverside,California,United States,Agriculture,www.revolutionltd.com,(784) 790-8744,1985,"7849 Corporate Dr, Riverside, California, 34957, United States"
1020,Strategic Corp,Over $5 bil.,61498,Nashville,Tennessee,United States,Construction,www.strategiccorp.com,(620) 678-1887,2013,"1712 Main St, Nashville, Tennessee, 62772, United States"
1021,Momentum Enterprises,"$500,000 - $1 mil.",4,San Francisco,California,United States,Manufacturing,www.momentumenterprises.com,(749) 659-3296,1997,"3106 Business Blvd, San Francisco, California, 70637, United States"
1022,Summit Industries,"$500,000 - $1 mil.",8,Tulsa,Oklahoma,United States,Finance,www.summitindustries.com,(251) 867-9856,2023,"341 Main St, Tulsa, Oklahoma, 40982, United States"
1023,Future Systems,$100 mil. - $250 mil.,692,Columbus,Ohio,United States,Government,www.futuresystems.com,(610) 260-3697,1994,"135 Corporate Dr, Columbus, Ohio, 44760, United States"
1024,Pioneer Co,$50 mil. - $100 mil.,456,Riverside,California,United States,Education,www.pioneerco.com,(769) 877-8973,1979,"3211 Business Blvd, Riverside, California, 38534, United States"
1025,Premier Group,$250 mil. - $500 mil.,624,Lexington,Kentucky,United States,Business Services,www.premiergroup.com,(258) 251-8811,2002,"8801 Oak Ave, Lexington, Kentucky, 17455, United States"
1026,Transform Corp,$1 mil. - $5 mil.,9,Arlington,Texas,United States,Finance,www.transformcorp.com,(891) 440-7615,1977,"9433 Oak Ave, Arlington, Texas, 85880, United States"
1027,Advanced Group,"$500,000 - $1 mil.",7,Anaheim,California,United States,Retail,www.advancedgroup.com,(778) 735-6183,1986,"3446 Business Blvd, Anaheim, California, 41285, United States"
1028,Pinnacle Systems,$1 mil. - $5 mil.,47,Aurora,Colorado,United States,"Energy, Utilities & Waste",www.pinnaclesystems.com,(668) 523-2188,1970,"7608 Tech Way, Aurora, Colorado, 83792, United States"
1029,Strategic Corp,$250 mil. - $500 mil.,936,Raleigh,North Carolina,United States,"Energy, Utilities & Waste",www.strategiccorp.com,(335) 557-2127,1985,"6154 Business Blvd, Raleigh, North Carolina, 30676, United States"
1030,Fusion Industries,$250 mil. - $500 mil.,1940,Boston,Massachusetts,United States,Retail,www.fusionindustries.com,(869) 741-1128,2012,"9186 Business Blvd, Boston, Massachusetts, 96951, United States"
1031,Strategic LLC,$10 mil. - $25 mil.,49,San Antonio,Texas,United States,Transportation,www.strategicllc.com,(766) 359-5462,1988,"3550 Business Blvd, San Antonio, Texas, 36685, United States"
1032,Pinnacle Services,$100 mil. - $250 mil.,457,Houston,Texas,United States,Finance,www.pinnacleservices.com,(849) 633-5533,1972,"158 Business Blvd, Houston, Texas, 27146, United States"
1033,Pinnacle LLC,$100 mil. - $250 mil.,764,Corpus Christi,Texas,United States,Construction,www.pinnaclellc.com,(774) 209-2832,1974,"2542 Tech Way, Corpus Christi, Texas, 14722, United States"
1034,Phoenix Group,$250 mil. - $500 mil.,803,Louisville,Kentucky,United States,Healthcare,www.phoenixgroup.com,(242) 515-6974,2020,"753 Business Blvd, Louisville, Kentucky, 37535, United States"
1035,Summit Partners,"$500,000 - $1 mil.",6,Stockton,California,United States,Real Estate,www.summitpartners.com,(616) 835-3532,1985,"2762 Oak Ave, Stockton, California, 64040, United States"
1036,Global LLC,$25 mil. - $50 mil.,250,Las Vegas,Nevada,United States,Education,www.globalllc.com,(885) 952-5065,1987,"2708 Main St, Las Vegas, Nevada, 60140, United States"
1037,Advanced Industries,$100 mil. - $250 mil.,427,San Francisco,California,United States,Government,www.advancedindustries.com,(671) 558-6000,2022,"3828 Oak Ave, San Francisco, California, 13101, United States"
1038,Beta Systems,$25 mil. - $50 mil.,121,Phoenix,Arizona,United States,Education,www.betasystems.com,(485) 559-9346,1995,"8885 Business Blvd, Phoenix, Arizona, 13617, United States"
1039,Innovative Co,$1 mil. - $5 mil.,42,Indianapolis,Indiana,United States,Technology,www.innovativeco.com,(311) 810-8119,1992,"5239 Corporate Dr, Indianapolis, Indiana, 89457, United States"
1040,Transform Corp,$50 mil. - $100 mil.,395,San Francisco,California,United States,"Energy, Utilities & Waste",www.transformcorp.com,(245) 925-8144,1970,"8618 Tech Way, San Francisco, California, 97900, United States"
1041,Beta Solutions,$50 mil. - $100 mil.,135,Anaheim,California,United States,Agriculture,www.betasolutions.com,(538) 838-6143,2012,"2141 Business Blvd, Anaheim, California, 76469, United States"
1042,Catalyst Partners,$50 mil. - $100 mil.,267,Oklahoma City,Oklahoma,United States,Transportation,www.catalystpartners.com,(502) 767-3085,1982,"6988 Corporate Dr, Oklahoma City, Oklahoma, 98777, United States"
1043,Alpha Group,$500 mil. - $1 bil.,2232,Oklahoma City,Oklahoma,United States,Real Estate,www.alphagroup.com,(200) 511-5700,1983,"7143 Tech Way, Oklahoma City, Oklahoma, 89516, United States"
1044,Synergy Technologies,$100 mil. - $250 mil.,652,Honolulu,Hawaii,United States,Manufacturing,www.synergytechnologies.com,(723) 684-3780,2012,"1489 Business Blvd, Honolulu, Hawaii, 77561, United States"
1045,Momentum Corp,$5 mil. - $10 mil.,96,Boston,Massachusetts,United States,Manufacturing,www.momentumcorp.com,(403) 350-1400,1972,"4111 Corporate Dr, Boston, Massachusetts, 90120, United States"
1046,Elite Technologies,$50 mil. - $100 mil.,422,Cleveland,Ohio,United States,Manufacturing,www.elitetechnologies.com,(935) 913-7291,2001,"6647 Oak Ave, Cleveland, Ohio, 29342, United States"
1047,Acme Enterprises,"$500,000 - $1 mil.",7,Charlotte,North Carolina,United States,Healthcare,www.acmeenterprises.com,(912) 730-8611,1973,"9232 Oak Ave, Charlotte, North Carolina, 25906, United States"
1048,Pioneer LLC,$100 mil. - $250 mil.,883,Omaha,Nebraska,United States,Real Estate,www.pioneerllc.com,(809) 524-8251,2009,"8370 Corporate Dr, Omaha, Nebraska, 81810, United States"
1049,Fusion LLC,$100 mil. - $250 mil.,660,Indianapolis,Indiana,United States,Education,www.fusionllc.com,(453) 852-5543,2019,"8640 Corporate Dr, Indianapolis, Indiana, 92149, United States"
